no,instansi,reference,status
4,PT Dahana (Persero),PT Dahana Berlian Motor,no
1,PT Dana Tabungan Dan Asuransi Pegawai Negeri / Taspen (Persero),PT Taspen (Persero),yes
2,PT Dana Tabungan Dan Asuransi Pegawai Negeri / Taspen (Persero),PT Taspen KC Bengkulu,yes
3,PT Dana Tabungan Dan Asuransi Pegawai Negeri / Taspen (Persero),Bank Mandiri Taspen,no
4,PT Dana Tabungan Dan Asuransi Pegawai Negeri / Taspen (Persero),Bank Tabungan Pensiunan Nasional,no
1,PT Danareksa (Persero),Danareksa,yes
2,PT Danareksa (Persero),PT Danareksa,yes
3,PT Danareksa (Persero),PT Bhanda Ghara Reksa (Persero),no
4,PT Danareksa (Persero),Bareksa,no
1,PT Dirgantara Indonesia (Persero),PTDI,yes
2,PT Dirgantara Indonesia (Persero),PT Dirgantara Indonesia,yes
3,PT Dirgantara Indonesia (Persero),PT Dirgantara Yudha Artha,no
4,PT Dirgantara Indonesia (Persero),PT Garuda Indonesia,no
1,PT Djakarta Lloyd (Persero),Djakarta Lloyd,yes
2,PT Djakarta Lloyd (Persero),PT Djakarta Lloyd,yes
3,PT Djakarta Lloyd (Persero),Perum Pengangkutan Penumpang Djakarta (PPD),no
4,PT Djakarta Lloyd (Persero),PT Jakarta Propertindo,no
1,"PT Garuda Indonesia (Persero), Tbk.",Garuda Indonesia,yes
2,"PT Garuda Indonesia (Persero), Tbk.",PT Garuda Indonesia,yes
3,"PT Garuda Indonesia (Persero), Tbk.",PT Garuda Metalindo,no
4,"PT Garuda Indonesia (Persero), Tbk.",PT Garuda Mart Indonesia,no
1,PT Dok Dan Perkapalan Kodja Bahari (Persero),PT DKB,yes
2,PT Dok Dan Perkapalan Kodja Bahari (Persero),Dok dan Perkapalan Kodja Bahari,yes
3,PT Dok Dan Perkapalan Kodja Bahari (Persero),PT Dok dan Perkapalan Surabaya (Persero),no
4,PT Dok Dan Perkapalan Kodja Bahari (Persero),PT Bahari Eka Nusantara,no
1,PT Energy Management Indonesia,Emipersero,yes
2,PT Energy Management Indonesia,PT EMI,yes
3,PT Energy Management Indonesia,Indonesia Energy Corporation,no
4,PT Energy Management Indonesia,PT Indika Energy,no
1,PT Garam,Garam,yes
2,PT Garam,PT Garam (Persero),yes
3,PT Garam,PT Gudang Garam Tbk,no
4,PT Garam,PT Garam Nusantara Lestari,no
1,PT Geodipa Energi,Geo Dipa Energi,yes
2,PT Geodipa Energi,PT Geo Dipa Energi (Persero),yes
3,PT Geodipa Energi,Geo Energy Group,no
4,PT Geodipa Energi,PT Geotekindo,no
1,PT Hotel Indonesia Natour (Persero),PT HIN,yes
2,PT Hotel Indonesia Natour (Persero),Inna Hotels and Resorts,yes
3,PT Hotel Indonesia Natour (Persero),Hotel Indonesia Kempinski Jakarta,no
4,PT Hotel Indonesia Natour (Persero),Hotel Indonesia,no
1,PT Hutama Karya (Persero),Hutama Karya,yes
2,PT Hutama Karya (Persero),HK,yes
3,PT Hutama Karya (Persero),PT Karya Utamaputra Mandiri,no
4,PT Hutama Karya (Persero),PT Karya Putra Nusantara Perkasa,no
1,PT Indah Karya (Persero),Indah Karya,yes
2,PT Indah Karya (Persero),PT Indah Karya,yes
3,PT Indah Karya (Persero),PT Indra Karya (Persero),no
4,PT Indah Karya (Persero),PT Hutama Karya,no
1,PT Indonesia Asahan Alumunium (Inalum),PT Inalum,yes
2,PT Indonesia Asahan Alumunium (Inalum),PT Indonesia Asahan Aluminium (Persero),yes
3,PT Indonesia Asahan Alumunium (Inalum),PT Daiki Aluminium Industry Indonesia,no
4,PT Indonesia Asahan Alumunium (Inalum),PT Aluminium Karya Abadi,no
1,PT Indra Karya (Persero),Indra Karya,yes
2,PT Indra Karya (Persero),PT Indra Karya,yes
3,PT Indra Karya (Persero),PT Indah Karya (Persero),no
4,PT Indra Karya (Persero),PT Hutama Karya (Persero),no
1,PT Industri Kapal Indonesia (Persero),PT IKI (Persero),yes
2,PT Industri Kapal Indonesia (Persero),Industri Kapal Indonesia,yes
3,PT Industri Kapal Indonesia (Persero),PT Industri Kereta Api (Persero),no
4,PT Industri Kapal Indonesia (Persero),PT Industri Nuklir Indonesia (Persero),no
1,PT Industri Nuklir Indonesia (Persero),PT INUKI (Persero),yes
2,PT Industri Nuklir Indonesia (Persero),Industri Nuklir Indonesia,yes
3,PT Industri Nuklir Indonesia (Persero),PT Industri Kapal Indonesia (Persero),no
4,PT Industri Nuklir Indonesia (Persero),PT Industri Baterai Indonesia,no
1,PT Industri Sandang Nusantara (Persero),PT ISN (Persero),yes
2,PT Industri Sandang Nusantara (Persero),Industri Sandang Nusantara,yes
3,PT Industri Sandang Nusantara (Persero),PT Bio Industri Nusantara,no
4,PT Industri Sandang Nusantara (Persero),PT Industri Nusantara Sejahtera Abadi,no
1,PT Industri Telekomunikasi Indonesia (Persero),PT INTI (Persero),yes
2,PT Industri Telekomunikasi Indonesia (Persero),INTI,yes
3,PT Industri Telekomunikasi Indonesia (Persero),PT Industri Nuklir Indonesia (Persero),no
4,PT Industri Telekomunikasi Indonesia (Persero),PT Industri Kapal Indonesia (Persero),no
1,PT Istaka Karya (Persero),Istaka Karya,yes
2,PT Istaka Karya (Persero),PT Istaka Karya,yes
3,PT Istaka Karya (Persero),PT Indra Karya (Persero),no
4,PT Istaka Karya (Persero),PT Indah Karya (Persero),no
1,PT Jakarta Industrial Estate Pulogadung,Jiep Ecogreen,yes
2,PT Jakarta Industrial Estate Pulogadung,PT JIEP,yes
3,PT Jakarta Industrial Estate Pulogadung,Balai Diklat Industri Jakarta,no
4,PT Jakarta Industrial Estate Pulogadung,Hotel Orchardz Industri Jakarta,no
1,"PT Jasa Marga (Persero), Tbk.",Jasa Marga,yes
2,"PT Jasa Marga (Persero), Tbk.",PT Jasa Marga Cabang Purbaleunyi,yes
3,"PT Jasa Marga (Persero), Tbk.",PT Jasa Raharja (Persero),no
4,"PT Jasa Marga (Persero), Tbk.",PT Jasa Sarana,no
1,PT Jasa Raharja (Persero),Jasa Raharja,yes
2,PT Jasa Raharja (Persero),Jasa Raharja Bandung,yes
3,PT Jasa Raharja (Persero),"PT Jasa Marga (Persero), Tbk.",no
4,PT Jasa Raharja (Persero),PT Jasa Sarana,no
1,PT Kawasan Berikat Nusantara (Persero),PT KBN,yes
2,PT Kawasan Berikat Nusantara (Persero),Kawasan Berikat Nusantara,yes
3,PT Kawasan Berikat Nusantara (Persero),PT Kawasan Industri Wijayakusuma (Persero),no
4,PT Kawasan Berikat Nusantara (Persero),PT Nusantara Laju Bersama,no
1,PT Kawasan Industri Wijayakusuma (Persero),PT KIW,yes
2,PT Kawasan Industri Wijayakusuma (Persero),Kawasan Industri Wijayakusuma,yes
3,PT Kawasan Industri Wijayakusuma (Persero),PT Kawasan Berikat Nusantara (Persero),no
4,PT Kawasan Industri Wijayakusuma (Persero),PT Industri Telekomunikasi Indonesia,no
1,PT Kimia Farma,Kimia Farma,yes
2,PT Kimia Farma,PT Kimia Farma Tbk,yes
3,PT Kimia Farma,PT Indofarma,no
4,PT Kimia Farma,PT Bio Farma,no
1,PT Kliring Berjangka Indonesia (Persero),PT KBI,yes
2,PT Kliring Berjangka Indonesia (Persero),Kliring Berjangka Indonesia,yes
3,PT Kliring Berjangka Indonesia (Persero),PT Solid Gold Berjangka,no
4,PT Kliring Berjangka Indonesia (Persero),PT Kliring Penjaminan Efek Indonesia,no
1,PT Krakatau Steel (Persero) Tbk.,Krakatau Steel,yes
2,PT Krakatau Steel (Persero) Tbk.,PT Krakatau Steel,yes
3,PT Krakatau Steel (Persero) Tbk.,PT Steel Pipe Industry of Indonesia Tbk,no
4,PT Krakatau Steel (Persero) Tbk.,PT Steel Center Indonesia,no
1,PT Len Industri (Persero),Len Industri,yes
2,PT Len Industri (Persero),Len,yes
3,PT Len Industri (Persero),PT Industri Kapal Indonesia (Persero),no
4,PT Len Industri (Persero),PT Lentera Dana Nusantara,no
1,PT PAL Indonesia (Persero),PAL Indonesia,yes
2,PT PAL Indonesia (Persero),PT PAL,yes
3,PT PAL Indonesia (Persero),PT Kliring Berjangka Indonesia (Persero),no
4,PT PAL Indonesia (Persero),PT Palma Serasih,no
1,PT PANN Pembiayaan Maritim (Persero),PT PANN,yes
2,PT PANN Pembiayaan Maritim (Persero),PANN Pembiayaan Maritim,yes
3,PT PANN Pembiayaan Maritim (Persero),PT Maritim Barito Perkasa,no
4,PT PANN Pembiayaan Maritim (Persero),PT Pembiayaan Digital Indonesia,no
1,PT Pegadaian (Persero),Pegadaian,yes
2,PT Pegadaian (Persero),PT Pegadaian Area Samarinda,yes
3,PT Pegadaian (Persero),PT Len Industri (Persero),no
4,PT Pegadaian (Persero),PT Pegasus Honor Indonesia,no
1,PT Pelabuhan Indonesia I (Persero),Pelindo I,yes
2,PT Pelabuhan Indonesia I (Persero),Pelabuhan Indonesia,yes
3,PT Pelabuhan Indonesia I (Persero),PT Pelabuhan Indonesia II,no
4,PT Pelabuhan Indonesia I (Persero),Pelabuhan Indonesia II,no
1,PT Pelabuhan Indonesia II (Persero),Pelindo II,yes
2,PT Pelabuhan Indonesia II (Persero),Pelabuhan Indonesia II,yes
3,PT Pelabuhan Indonesia II (Persero),Pelabuhan Indonesia,no
4,PT Pelabuhan Indonesia II (Persero),Pelindo,no
1,PT Pelabuhan Indonesia III (Persero),Pelabuhan Indonesia III,yes
2,PT Pelabuhan Indonesia III (Persero),Pelindo III,yes
3,PT Pelabuhan Indonesia III (Persero),Pelabuhan Indonesia II,no
4,PT Pelabuhan Indonesia III (Persero),Pelindo,no
1,PT Pelabuhan Indonesia IV (Persero),Pelabuhan Indonesia IV,yes
2,PT Pelabuhan Indonesia IV (Persero),Pelindo IV,yes
3,PT Pelabuhan Indonesia IV (Persero),PT Pelabuhan Indonesia I,no
4,PT Pelabuhan Indonesia IV (Persero),Pelindo,no
1,PT Pelayaran Nasional Indonesia (Persero) (Pelni),Pelayaran Nasional Indonesia,yes
2,PT Pelayaran Nasional Indonesia (Persero) (Pelni),PT PELNI,yes
3,PT Pelayaran Nasional Indonesia (Persero) (Pelni),PT Pelayaran Nasional Ekalya Purnamasari Tbk,no
4,PT Pelayaran Nasional Indonesia (Persero) (Pelni),PT Pelayaran Bahtera Adhiguna,no
1,PT Pembangunan Perumahan (Persero),PT PP,yes
2,PT Pembangunan Perumahan (Persero),Pembangunan Perumahan,yes
3,PT Pembangunan Perumahan (Persero),PT Pembangunan Jaya,no
4,PT Pembangunan Perumahan (Persero),PT Pembangunan Jaya Ancol,no
1,PT Penerbitan Dan Percetakan Balai Pustaka (Persero),PT Balai Pustaka,yes
2,PT Penerbitan Dan Percetakan Balai Pustaka (Persero),Balai Pustaka,yes
3,PT Penerbitan Dan Percetakan Balai Pustaka (Persero),Penerbit dan Percetakan Mediatama,no
4,PT Penerbitan Dan Percetakan Balai Pustaka (Persero),PT Percetakan Gramedia Cikarang,no
1,PT Pengembangan Pariwisata Indonesia (Persero),ITDC,yes
2,PT Pengembangan Pariwisata Indonesia (Persero),Pengembangan Pariwisata Indonesia,yes
3,PT Pengembangan Pariwisata Indonesia (Persero),Kementerian Pariwisata dan Ekonomi Kreatif Republik Indonesia,no
4,PT Pengembangan Pariwisata Indonesia (Persero),PT Pengembangan Investasi Riau,no
1,PT Pengusahaan Daerah Industri Pulau Batam (Persero),PT PDI Batam,yes
2,PT Pengusahaan Daerah Industri Pulau Batam (Persero),PT Persero Batam,yes
3,PT Pengusahaan Daerah Industri Pulau Batam (Persero),Pemerintah Kota Batam,no
4,PT Pengusahaan Daerah Industri Pulau Batam (Persero),PT Kawasan Industri Jababeka Tbk,no
1,PT Penjaminan Infrastruktur Indonesia (Persero),PT PII,yes
2,PT Penjaminan Infrastruktur Indonesia (Persero),PT PII Persero,yes
3,PT Penjaminan Infrastruktur Indonesia (Persero),PT Penjaminan Jamkrindo Syariah,no
4,PT Penjaminan Infrastruktur Indonesia (Persero),PT Infrastruktur Bisnis Sejahtera,no
1,PT Perikanan Nusantara,PT Perinus,yes
2,PT Perikanan Nusantara,PT Perinus (Persero),yes
3,PT Perikanan Nusantara,PT Perkebunan Nusantara III,no
4,PT Perikanan Nusantara,PT Nusantara Compnet Integrator,no
1,PT Perkebunan Nusantara III,PT. Perkebunan Nusantara III (Persero),yes
2,PT Perkebunan Nusantara III,PTPN III,yes
3,PT Perkebunan Nusantara III,PT Perkebunan Nusantara IV,no
4,PT Perkebunan Nusantara III,PT Perikanan Nusantara,no
1,PT Permodalan Nasional Madani (Persero),PT PNM,yes
2,PT Permodalan Nasional Madani (Persero),PT PNM (Persero),yes
3,PT Permodalan Nasional Madani (Persero),Pemodalan Nasional Berhad,no
4,PT Permodalan Nasional Madani (Persero),PT Media Solusi Internasional,no
1,PT Pertamina (Persero),Pertamina,yes
2,PT Pertamina (Persero),PT Pertamina,yes
3,PT Pertamina (Persero),PT Pertani,no
4,PT Pertamina (Persero),Pertamini,no
1,PT Pertani (Persero),Pertani,yes
2,PT Pertani (Persero),PT Pertani,yes
3,PT Pertani (Persero),PT Pertamina,no
4,PT Pertani (Persero),PT Tani Hub Indonesia,no
1,PT Perusahaan Gas Negara (Persero) Tbk,PGN,yes
2,PT Perusahaan Gas Negara (Persero) Tbk,Perusahaan Gas Negara,yes
3,PT Perusahaan Gas Negara (Persero) Tbk,PT Perusahaan Listrik Negara (Persero) (PLN),no
4,PT Perusahaan Gas Negara (Persero) Tbk,PT Pertamina Gas Negara Tbk,no
1,PT Perusahaan Listrik Negara (Persero) (PLN),PLN,yes
2,PT Perusahaan Listrik Negara (Persero) (PLN),Perusahaan Listrik Negara,yes
3,PT Perusahaan Listrik Negara (Persero) (PLN),PT Perusahaan Gas Negara (Persero) Tbk,no
4,PT Perusahaan Listrik Negara (Persero) (PLN),PT Perusahaan Pengelola Aset (Persero),no
1,PT Perusahaan Pengelola Aset (Persero),PT PPA,yes
2,PT Perusahaan Pengelola Aset (Persero),Perusahaan Pengelola Aset,yes
3,PT Perusahaan Pengelola Aset (Persero),Perusahaan Pengurusan Jasa Kepabeanan,no
4,PT Perusahaan Pengelola Aset (Persero),PT Aset Digital Berkat,no
1,PT Perusahaan Perdagangan Indonesia,PT PPI,yes
2,PT Perusahaan Perdagangan Indonesia,Perusahaan Perdagangan Indonesia,yes
3,PT Perusahaan Perdagangan Indonesia,Kementerian Perdagangan Republik Indonesia,no
4,PT Perusahaan Perdagangan Indonesia,PT Perdagangan Mistico Indonesia,no
1,PT Pindad (Persero),Pindad,yes
2,PT Pindad (Persero),PT Pindad,yes
3,PT Pindad (Persero),PT PAL,no
4,PT Pindad (Persero),PT Pinus Merah Abadi,no
1,PT Pos Indonesia (Persero),Pos Indonesia,yes
2,PT Pos Indonesia (Persero),PT Pos Indonesia KC Cirebon,yes
3,PT Pos Indonesia (Persero),PT Pos Properti Indonesia,no
4,PT Pos Indonesia (Persero),PT Posco Indonesia,no
1,PT Pupuk Indonesia Holding Company,Pupuk Indonesia,yes
2,PT Pupuk Indonesia Holding Company,PT Pupuk Indonesia (Persero),yes
3,PT Pupuk Indonesia Holding Company,Distributor Pupuk Bersubsidi,no
4,PT Pupuk Indonesia Holding Company,Indonesia Holding Company,no
1,PT Rajawali Nusantara Indonesia,PT Rajawali Nusindo,yes
2,PT Rajawali Nusantara Indonesia,ID FOOD,yes
3,PT Rajawali Nusantara Indonesia,PT Rajawali Citra Televisi Indonesia,no
4,PT Rajawali Nusantara Indonesia,PT Nusantara Laju Bersama,no
1,PT Reasuransi Indonesia Utama (Persero),Indonesia Re,yes
2,PT Reasuransi Indonesia Utama (Persero),Reasuransi Indonesia Utama,yes
3,PT Reasuransi Indonesia Utama (Persero),PT Indonesia Utama Abadi,no
4,PT Reasuransi Indonesia Utama (Persero),PT Reasuransi Nasional Indonesia,no
1,PT Sang Hyang Seri,SHS,yes
2,PT Sang Hyang Seri,PT Sang Hyang Seri Cabang Sidrap,yes
3,PT Sang Hyang Seri,Sanghyang Heuleut,no
4,PT Sang Hyang Seri,PT Sang Byte Indonesia,no
1,PT Sarana Multi Infrastruktur (Persero) (PT SMI),PT SMI,yes
2,PT Sarana Multi Infrastruktur (Persero) (PT SMI),Sarana Multi Infrastruktur,yes
3,PT Sarana Multi Infrastruktur (Persero) (PT SMI),PT Sarana Multigriya Finansial (Persero),no
4,PT Sarana Multi Infrastruktur (Persero) (PT SMI),PT Multi Wahana Kencana,no
1,PT Sarinah (Persero),Sarinah,yes
2,PT Sarinah (Persero),PT Sarinah,yes
3,PT Sarinah (Persero),PT Sariguna Primatirta,no
4,PT Sarinah (Persero),PT Sarimelati Kencana,no
1,PT Semen Baturaja (Persero),PT Semen Baturaja,yes
2,PT Semen Baturaja (Persero),Semen Baturaja,yes
3,PT Semen Baturaja (Persero),PT Semen Indonesia (Persero),no
4,PT Semen Baturaja (Persero),PT Semen Padang,no
1,"PT Semen Indonesia (Persero), Tbk.",PT Semen Indonesia,yes
2,"PT Semen Indonesia (Persero), Tbk.",Semen Indonesia,yes
3,"PT Semen Indonesia (Persero), Tbk.",PT Semen Baturaja (Persero),no
4,"PT Semen Indonesia (Persero), Tbk.",PT Tambang Semen Sukabumi,no
1,PT Sucofindo,PT Superintending Company of Indonesia,yes
2,PT Sucofindo,Sucofindo,yes
3,PT Sucofindo,PT Sucorinvest Asset Management,no
4,PT Sucofindo,PT Sucor Sekuritas,no
1,PT Surveyor Indonesia (Persero),Surveyor Indonesia,yes
2,PT Surveyor Indonesia (Persero),PTSI,yes
3,PT Surveyor Indonesia (Persero),PT Semen Indonesia (Persero),no
4,PT Surveyor Indonesia (Persero),PT Frasta Survey Indonesia,no
1,"PT Taman Wisata Candi Borobudur, Prambanan, Dan Ratu Boko (Persero)",PT TWC,yes
2,"PT Taman Wisata Candi Borobudur, Prambanan, Dan Ratu Boko (Persero)",PT Taman Wisata Candi,yes
3,"PT Taman Wisata Candi Borobudur, Prambanan, Dan Ratu Boko (Persero)",Taman Wisata Bougenville,no
4,"PT Taman Wisata Candi Borobudur, Prambanan, Dan Ratu Boko (Persero)",Taman Wisata Alam Sevillage,no
1,PT Varuna Tirta Prakasya (Persero),PT VTP,yes
2,PT Varuna Tirta Prakasya (Persero),Varuna Tirta Prakasya,yes
3,PT Varuna Tirta Prakasya (Persero),PT Varuna Artha Nugraha,no
4,PT Varuna Tirta Prakasya (Persero),PT Tirta Investama,no