instansi;sinonim;pred;prob
bri cabang temanggung;BRI Cabang Temanggung;1;0.99874746799469
cfo pt pertamina;Universita Pertamina;1;0.9960057139396667
kementerian sumber daya mineral;CV. Sumber Nelayan;0;0.9938437938690186
pt berdikari persero;PT Surya bersama propertindo;0;0.9943028688430786
kemendikbudristek;Kemendikbudristek;1;0.997627317905426
kacab bri samarinda 1;Bank Rakyat Indonesia Samarinda 1;1;0.9281437993049622
pemerintah kabupaten pemalang;Pemerintah Kabupaten Pemalang;1;0.9987766146659852
pt bgr;PT Nusantara Infrastruktur;1;0.8148428797721863
pemerintah kabupaten aceh besar;Duta Besar Qatar;0;0.9975726008415222
pemprov sumatera selatan;Kanwil kemenag prov.sumatera selatan;1;0.9494722485542296
pemerintah kabupaten timor tengah selatan;Dinas Kesehatan Kabupaten Gresik;0;0.999440610408783
pemkot palembang;BCA Cabang Palembang;1;0.995042085647583
lembaga administrasi negara;Lembaga Administrasi Negara;1;0.99825257062912
pemerintah kabupaten minahasa tenggara;SKK Migas Jawa,  Bali, Madura, dan Nusa Tenggara (Jabanusa);0;0.9945834279060364
inspektorat jenderal tni;waki konsultan jenderal Cina;0;0.9600250720977784
pt bgr;PT NAKU FREIGHT INDONESIA;1;0.9787433743476868
pt perusahaan gas negara persero tbk;PT Perusahaan Gas Negara (Persero), Tbk;1;0.9981405735015868
kantor pos mamuju;Kantor Pos Mamuju;1;0.9974340796470642
pupuk indonesia holding company;Chairman of Tosyali Holding;0;0.98605877161026
bgr indonesia;PT. Microsoft Indonesia;1;0.9372864961624146
pemerintah tuban;Pemerintah Kabupaten Lamongan;1;0.9988707900047302
pt dkb;PT Semen Gresik (Persero), Tbk;1;0.9880369901657104
pemerintah provinsi jawa tengah;Kanwil Kemenag Jawa Tengah;1;0.9946035742759703
pt kiw;PT SUSI AIR;1;0.9088972210884094
anggota dewan perwakilan daerah;Dewan Perwakilan Rakyat;0;0.9982081651687622
satuan kerja khusus pelaksana kegiatan usaha hulu minyak dan gas bumi skk migas;Pelaksana Kontraktor CV CANAYYA CONSTRUCTION;0;0.9538156986236572
pemerintah kota probolinggo;BKD Kabupaten Probolinggo & BKPSDM Kota Kediri;1;0.9956089854240416
pt bio farma bandung;PT Bio Farma (Persero);1;0.9986209869384766
pemkot probolinggo;KAPOLRES PROBOLINGGO KOTA;1;0.8794187307357788
pemerintah kabupaten gunung mas;PT Naga Mas Mulia;0;0.9978880286216736
pt pnm;PNM Investment Management;1;0.9935954213142396
bni cabang jakarta kramat;KPKNL Jakarta V;1;0.9493959546089172
pt yodya karya persero;PT. Karya Mitra Budi Sentosa;0;0.9968474507331848
pemerintah kabupaten empat lawang;Pemerintah Kabupaten Empat Lawang;1;0.9991600513458252
bpjs kesehatan;Dekan Fakultas Ulmu Kesehatan Universitas Aisyiyah Yogyakarta;1;0.7477817535400391
pln uip nusra;PLN UIW NTB dan PLN UIP NUSRA;1;0.9987114667892456
pt smf;Komisaris  PT Blue Bird;1;0.9853507280349731
indonesia financial group;Group Musik;0;0.969502866268158
pt pln;PT Timah Industri;0;0.995047688484192
pt kim;KIM Pamekasan Hebat;1;0.9934160709381104
pemkot bima;BSI KC Bima Soetta 1;1;0.9323070645332336
pemerintah kota cilegon;Pemerintah Kota Cilegon;1;0.9988686442375184
bank bni kantor cabang karawang;Bank Bukopin;1;0.6587786674499512
bnsp republik indonesia;Indonesia Power;1;0.9906702041625975
pemkot padang;Pegawai BBPOM di Padang;1;0.8914892673492432
pt smf;PT Bank Pembangunan Daerah Jawa Barat dan Banten, Tbk;1;0.9338275194168092
pt hutama karya persero;PT Hutama Karya (Persero);1;0.99801105260849
hotel natour;Aston Hotel;0;0.971105456352234
pemerintah kabupaten aceh barat daya;SMK Negeri 1 Palasah Cabang Dinas Pendidikan Wilayah IX Provinsi Jawa Barat;0;0.9976568222045898
pemerintah kabupaten gorontalo;Disdik Pemkot Gorontalo;1;0.9964818954467772
pemkot blitar;Walikota Blitar;1;0.9985491633415222
badan pengelola keuangan haji bpkh;Kementerian Keuangan Bangladesh;1;0.7315599918365479
pt bgr;PT Lisna Syifa Prima Padang;1;0.9049819707870485
pemkab gresik;Koperasi Karyawan Keluarga Besar Petrokimia Gresik (K3PG);1;0.9939380884170532
pemprov jateng;BPD Jateng Capem Ngadirejo;1;0.9216685891151428
pt jamkrindo cabang bandung;PT. JAMKRINDO KANWIL VIII Banjarmasin & KC Tarakan;1;0.979304850101471
indofarma global medika cabang;PT. Triguna Medika Pratama;0;0.9806140661239624
pt smf;PT Bank Centra Asia Tbk, Corporate Banking Group;1;0.962130844593048
pemerintah sintang;Pemerintah Kabupaten Sintang;1;0.998429000377655
pt bank mandiri cabang samarinda;Bank Mandiri Medan;1;0.9631777405738832
asuransi angkatan bersenjata;PT. Asuransi Ramayana Cabang Banjarmasin;1;0.9807751178741456
pemkab cianjur;DPRD Cianjur;1;0.987134039402008
nasabah bni;tidak diketahui, namun diduga nasabah BNI;1;0.9928085803985596
inspektorat jenderal tni;Direktorat Jenderal Tanaman Pangan;0;0.990848183631897
kominfo;Balai Besar Pengujian Perangkat Telekomunikasi, Kementerian Kominfo;1;0.977377474308014
pemerintah kabupaten lamongan;Universitas Muhammadiyah Lamongan;0;0.9977918863296508
pt berdikari persero;PT Candi Arta;0;0.995597779750824
jamkrindo;PT. JAMKRINDO;1;0.998909831047058
pt berdikari indonesia;PT SKP;1;0.9989234805107116
pemerintah kabupaten bolaang mongondow;Pemerintah Kabupaten Bolaang Mongondow;1;0.9988020658493042
pt dkb;PT;1;0.9937474727630616
pemkot ambon;Hotel Santika Ambon;1;0.9386196136474608
pemkot bengkulu;Balai POM di Bengkulu;1;0.973881721496582
pt bgr;PT Golden Compas Indonesia;1;0.7400130033493042
pt bgr;PT GLOBAL SELARAS MEDIKA;1;0.9032915234565736
kementerian desa;Ketua Pokmas Desa Putak;0;0.98738431930542
pemerintah kabupaten aceh jaya;PT Saddam Jaya Perkasa;0;0.9982842803001404
pemerintah kabupaten pamekasan;Pemerintah Kabupaten Pamekasan;1;0.9992363452911376
kementerian pekerjaan umum dan perumahan rakyat pupr;Kementerian Kominfo;1;0.9412841796875
pemerintah provinsi jawa tengah;Pemerintah Provinsi Jawa Tengah;1;0.998742401599884
jamkrindo;PT. Jamkrindo Cabang Samarinda;1;0.9971504807472228
pt asuransi jiwasraya persero;PT. ASURANSI TRI PAKARTA;0;0.9925589561462402
pt smf;PT Bulog Cabang Surakarta;1;0.9981447458267212
bgr indonesia;Bank Indonesia Pematangsiantar;1;0.8474012613296509
pt bank mandiri cikampek;PT Bank Mandiri Cikampek;1;0.9984883069992064
pt indah karya persero;Politeknik Kesehatan Karya Husuda Yogyakarta;0;0.995960533618927
pemkab kapuas hulu;Polres Kapuas Hulu;1;0.9893587827682496
badan pusat statistik bps;Kepala Badan Konservasi Borobudur;0;0.9971073269844056
pemerintah kabupaten kudus;Pemerintah Kabupaten Kudus;1;0.998769462108612
primissima batik;Sila Butik Batik;0;0.8795697689056396
komisi pemilihan umum kabupaten fakfak;rumah sakit umum dinda;0;0.996645987033844
pemkot pematang siantar;Staf Exim PT. Siantar Top, Tbk;1;0.6984595656394958
pemkot palangkaraya;Bahalap Hotel Palangkaraya;1;0.983665943145752
pemkot mataram;Al-Azhar Islamic University Mataram;1;0.987069010734558
pemerintah kabupaten fak fak;Pemerintah Kabupaten;1;0.9975178241729736
bp2mi;UPT BP2MI Medan;1;0.9900426864624025
pemkab pidie jaya;Jaya Seluler Indonesia;0;0.9978443384170532
pusat pelaporan dan analisis transaksi keuangan;Pusat Pelaporan dan Analisis Transaksi Keuangan;1;0.994642972946167
pemerintah kabupaten bombana;Dinas Koperasi dan UKM Kabupaten Subang;0;0.9993537068367004
pemkot palangkaraya;Fovere Hotel Palangkaraya;1;0.9935089349746704
pemerintah kabupaten sijunjung;Pemerintah Desa Kejuden;0;0.9995871186256408
pt smf;PT KUARTA;1;0.9590442776679992
pemerintah kabupaten mojokerto;Pemerintah Kota Mojokerto;1;0.999200403690338
pupuk indonesia;Standard Chartered Indonesia;0;0.9970154762268066
pt industri nuklir indonesia;PT TKDN;1;0.9985544085502625
pt telkom;PT Timah, Tbk;0;0.9932098984718324
pemkab sidoarjo;IDE KITA CEMERLANG SIDOARJO;1;0.9947180151939392
pemprov sumatera barat;Pemerintah Provinsi Sumatera Barat;1;0.9990304708480836
pt smi;PT Caterindo Citra Rasa;0;0.9957627654075624
kementerian koperasi dan ukm;Kementerian Koperasi dan UKM;1;0.9981741905212402
pt bki;PT HWI;1;0.9903258085250854
pemkab gowa;Pemerintah Kabupaten Gowa;1;0.998424768447876
kementerian pertanian;Menteri Pertanian;0;0.9979752898216248
badan meteorologi klimatologi dan geofisika bmkg;Badan Meteorologi, Klimatologi, dan Geofisika;1;0.9986286163330078
bank bri unit prambanan;Bank BRI Unit Prambanan;1;0.9984338879585266
pt bank mandiri;PT. Athaya Abbas Mandiri;0;0.9896321296691896
pemerintah kabupaten raja ampat;Raja United Emirates Arab;0;0.9964985847473145
nasabah bank mandiri pemilik toko parfum;Pemilik;0;0.8643409013748169
pemerintah tegal;Pemerintah Kabupaten Tegal;1;0.998946249485016
pt semen indonesia;PT Maulidya Mandiri propertindo;0;0.9914917349815368
pemerintah kota mataram;Universitas Islam Negri (UIN) Mataram / Panitia The 3rd Geotourism Festival & International Conference;0;0.8465315699577332
pemerintah kabupaten tasikmalaya;Sekda Kabupaten Garut - PNS;0;0.9985246062278748
perusahaan gas negara;Perusahaan Pengurusan Jasa Kepabeanan;0;0.9863396883010864
pt pertamina patra niaga;Pertamina Patra Niaga;1;0.9977589845657348
pemkot sukabumi;SMKN 4 Sukabumi;1;0.9961642026901244
pt bgr;PT Bank DKI Jakarta;1;0.986375629901886
bank bri cabang blitar;BANK BRI CABANG BLITAR;1;0.998513400554657
pemkab sleman;UMKM Sleman;1;0.8045700788497925
pemerintah kabupaten intan jaya;PT. EDCO PUTRA JAYA;0;0.9972878694534302
pt geo dipa energi persero;PT. Geo Dipa Energi (Persero);1;0.9989186525344848
pemerintah kabupaten tolikara;Pemerintah Kabupaten Indragiri Hilir;0;0.9995155334472656
bpjs kesehatan;BPJS Kesehatan;1;0.996994972229004
kemenhub ri;Anggota Komisi V DPR RI;1;0.9930874705314636
kementerian koordinator perekonomian;Deputi Bidang Industri dan Investasi Kementerian Pariwisata dan Ekonomi Kreatif;0;0.9959622025489808
pemkab mojokerto;Pemkot Mojokerto;1;0.99868506193161
pt pertamina lubricants;PT Pertamina Lubricants;1;0.9978417158126832
lpsk ri;Komisi VI DPR RI;1;0.9911832809448242
pemerintah kabupaten kaimana;puskesmas Kaimana;0;0.9985789060592652
bri cabang maros;BRI Cabang Maros;1;0.9979501366615297
pt superintending company of indonesia;House of Trusmi;0;0.9032506346702576
pt sarana multi infrastruktur persero pt smi;PT Mustika Eka Unggul;0;0.996206521987915
pemerintah kabupaten yahukimo;"Panitia dari Badan Perencanaan Pembangunan, Penelitian dan Pengembangan Daerah Pemerintah Provinsi Jawa Tengah untuk FGD ""Pemulihan Ekonomi Akibat Dampak Covid-19 dan Perubahan Geopolitik di Bidang Ketahanan Energi""";0;0.9859257340431212
pt superintending company of indonesia;Embassy of Bangladesh;1;0.7769621014595032
kementerian desa;Desa Mekarharja;0;0.9980667233467102
kemensos ri;Sekretariat Ditjen Linjamsos, Kemensos;1;0.9922956228256226
kementerian luar negeri;SMK NEGERI JATIPURO;0;0.9916129112243652
pemerintah kabupaten malang;RS Aisyiah Malang Rumah Sakit;0;0.9966526627540588
pt asuransi jiwasraya;PT. Asuransi Tri Pakarta;0;0.9904595613479614
bgr indonesia;PT. Samuel Sekuritas Indonesia;1;0.963215470314026
pemerintah kabupaten gresik;Kecamatan Gresik;0;0.9985431432724
pemerintah kabupaten maluku barat daya;SEKRETARIAT PERWAKILAN KEMENTERIAN KEUANGAN SULAWESI BARAT;0;0.9987555742263794
pemerintah kabupaten gresik;Dinas Kesehatan Gresik;0;0.9989041090011596
asuransi jasindo;JASINDO;1;0.9419862627983092
telkom indonesia;PT. Kredit Pintar Indonesia;0;0.9957441687583924
pemerintah kabupaten puncak;Dinas Kelautan, Perikanan dan Peternakan Kabupaten Cianjur;0;0.9991915822029114
pt angkasa pura ii;PT Angkasa Pura II (Persero);1;0.998220145702362
pt wijaya karya;PT. Wijaya Triutama Plywood Indsutri Banjarmasin;0;0.9698740243911744
pemerintah kabupaten pesisir barat;Kepala Badan Pengelolaan Pendapatan Daerah Provinsi Nusa Tenggara Barat;0;0.998875081539154
pemerintah kabupaten gresik;Pemerintah Kabupaten Gresik;1;0.9989288449287416
pemkot tarakan;PT. Askrindo KC Tarakan;1;0.997416615486145
kemenparekraf ri;Pelaksana BPPK Kemenkeu RI - PNS;1;0.8878090977668762
pemerintah kota madiun;Pemerintah Kota Madiun;1;0.9988991022109984
pt energi management indonesia;PT BND;1;0.9989180564880372
pemkot kota gorontalo;Pemerintah Kota Gorontalo;1;0.9988356232643129
pemkab banggai laut;ASN Kepala Bidang Dikdas Kab. Banggai Laut;1;0.8580052852630615
kementerian koperasi dan ukm;UKM;0;0.995499551296234
lembaga penjamin simpanan;Lembaga Penjamin Simpanan;1;0.9941972494125366
pt bgr;PT Microsoft Indonesia;1;0.6803048849105835
pt telkom indonesia persero tbk;PT Telkom PCC;1;0.998890459537506
pemprov ntb;Dinas Dispora NTB;1;0.968641757965088
pemprov maluku;Gubernur Maluku;1;0.5902730822563171
pemkot surabaya;BBPOM di Surabaya;1;0.9939051270484924
kantor staf presiden;Staf;0;0.9914113283157348
pemkot surabaya;asuransi al-amin Surabaya;1;0.907975137233734
pemprov kalimantan timur;PT. Conch South Kalimantan Cement;1;0.7999794483184814
pt bgr;PT Fresh Galang Mandiri Consultant;1;0.7008107304573059
pemkab serang;BPR Serang;1;0.998356282711029
pemerintah kota pare pare;Pemerintahan Kota;1;0.9955431818962096
kacab bri samarinda 1;SMK Pasundan 1;0;0.8114857077598572
bank mandiri;Pegawai bank;0;0.9954967498779296
pemerintah kabupaten aceh selatan;Dinas Pemberdayaan Masayrakat dan Desa Kabupaten Semarang;0;0.9990721940994264
kementerian pendayagunaan aparatur negara dan reformasi birokrasi kem panrb;Lembaga penyelenggara pelatihan dan seminar;0;0.993608832359314
pt inti persero;INTI DATA TELEMATIKA;0;0.9087348580360411
pt jasa marga;PT. Impala Akbarindo - penyedia jasa outsourcing cleaning services;0;0.9766863584518432
pemerintah kabupaten aceh tenggara;Kantor SKK Migas Jawa,  Bali, Madura, dan Nusa Tenggara (Jabanusa);0;0.9938125610351562
pt sarana multigriya finansial;PT Indracipta Purisatria;0;0.9978585839271544
pemerintah kabupaten padang lawas;Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu Kabupaten Pelalawan;0;0.9990971088409424
pt smf;PT Sasa Inti Jakarta;1;0.9955925345420836
bank nasional indonesia bni 46;Bank Nasional Indonesia (BNI 46) Cabang Pangkalan Bun;1;0.9967755675315856
pt bank bri persero cabang ujung batu;BANK BCA;1;0.8631327748298645
pemerintah serang;Pemerintah Kabupaten Serang;1;0.9988769888877868
pt dkb;PT Bank Pembangunan Daerah Jawa Timur, Tbk;1;0.9559863209724426
pt bank rakyat indonesia persero tbk bri;Kantor Perwakilan Bank Indonesia Perwakilan Kalimantan Selatan;1;0.5799687504768372
pt smf;PT Cirebon Energi Prasarana (CEPR);1;0.990288019180298
pemkot mojokerto;Kepala MAN 2 Mojokerto;1;0.9951189756393432
bank mandiri cabang samarinda;CV Mitra Mandiri;1;0.6984462141990662
pemkot pekanbaru;Kepala BBPOM di Pekanbaru;1;0.9926186203956604
badan narkotika nasional bnn;Badan Narkotika Nasional;1;0.9951918125152588
bank bri kc pandeglang;KANTOR PERWAKILAN BANK INDONESIA MALANG;1;0.8894133567810059
perum lembaga kantor berita nasional antara;Kantor Notaris Ibnu Andalusi;0;0.9833551049232484
pt asabri;Peserta ASABRI;1;0.998503804206848
pt bio farma indonesia;Pegawai PT Oigo Infrastruktur;1;0.8185049295425415
pt superintending company of indonesia;Head of Partnership Siloam Group;0;0.8618321418762207
pt kertas kraft aceh persero;PT. KERTAS PADALARANG;0;0.9933682084083556
pt perikanan nusantara;PT. ANEKA NUSANTARA INTERNASIONAL;0;0.99319988489151
bank mandiri cabang samarinda;Bank Mandiri Cabang Samarinda;1;0.9991186261177064
hotel natour;The Trans Luxury Hotel;0;0.9811760783195496
bp2mi jawa barat;-Jalan Rawa Buaya No.8, cengkareng, jakarta barat;1;0.8211351037025452
dewan perwakilan rakyat daerah dprd;Anggota DPRD Fraksi PPP;0;0.9905822277069092
pemkot probolinggo;Pemerintah Kota Probolinggo;1;0.9987767338752748
pemerintah kota pekalongan;Pemerintah Kabupaten Pekalongan;1;0.9988804459571838
pt bank mandiri cabang cikampek;PT Bank Mandiri Cabang Cikampek;1;0.9985650181770324
kemenkopukm;KEMENKOPUKM;1;0.9979389309883118
badan pengusahaan batam bp batam;Badan Pengusahaan Batam (BP Batam);1;0.997098445892334
perum perhutani divisi regional jawa barat dan banten;Ex. Advisor Organisasi dan SDM;1;0.9323627948760986
pemerintahan buleleng;Instansi Pemerintahan;0;0.9976154565811156
pt pegadaian area samarinda;PT. Pegadaian Area Samarinda;1;0.9989293217658995
pemerintah kota surabaya;Politeknik Pelayaran Surabaya;0;0.9976149797439576
pt bahana pembinaan usaha indonesia persero;PT. Bahana Sekuritas;0;0.9767964482307434
pemerintah kabupaten tuban;Fave Hotel Tuban;0;0.9928210377693176
pt taspen;Direktur Operasional PT. TASPEN;1;0.9983792304992676
bank rakyat indonesia cabang sintang;Bank Rakyat Indonesia Cabang Sintang;1;0.998288094997406
kementerian koperasi dan ukm;KEMENTERIAN KOPERASI DAN UKM;1;0.9976044297218324
kementerian desa;Desa pasir reungit;0;0.996012568473816
indonesia financial group ifg;SMEC Group;1;0.9925649166107178
pt penjaminan infrastruktur indonesia;PT Penjaminan Infrastruktur Indonesia;1;0.9989749193191528
otoritas jasa keuangan;Otoritas Jasa Keuangan;1;0.9980011582374572
pemerintah kota cirebon;Pemerintah Kota Cirebon;1;0.9991657733917236
waskita karya;PT Waskita Karya;1;0.9981149435043336
kementerian luar negeri;SMK Negeri 1 Jogonalan;0;0.9937385320663452
pt pembangunan perumahan;PT Griya Persada Pangestu;0;0.9961665272712708
kementerian desa pdtt;DESA;0;0.9955633878707886
indonesia re;Yayasan Reef Check Indonesia;1;0.955464243888855
pemerintah provinsi sulawesi tengah;Dinas Koperasi dan UMKM Provinsi Sulawesi Utara;0;0.9988204836845398
pemerintah kabupaten pesisir selatan;Pemerintah Kabupaten Pesisir Selatan;1;0.9991139769554138
pemkot pekanbaru;Kepala BBPOM Pekanbaru;1;0.9930960536003112
pemkab jombang;MDB Jombang;1;0.9987192153930664
pt bgr;PT Karoseri Anak Bangsa;1;0.952043116092682
pemerintah kota medan;KPP Pratama Medan Barat;0;0.9981999397277832
indonesia re;PT. Mars Internasional Indonesia (MII);1;0.9886675477027892
pupuk indonesia;Distributor Pupuk Bersubsidi;0;0.9899084568023682
pemprov kalimantan tengah;STAH DHARMA SENTANA SULAWESI TENGAH;1;0.9782944917678832
pemerintah kabupaten manggarai barat;Dispar Kabupaten Manggarai Barat;1;0.9869842529296876
pemerintah kota tasikmalaya;Pemerintah Kota Tasikmalaya;1;0.9989932179450988
pemerintah kabupaten kediri;Pemerintah Kota Kediri;1;0.9989534616470336
pemerintah kabupaten luwu utara;Pemerintah Kabupaten Luwu Utara;1;0.9988797307014464
kejaksaan negeri kota kediri;Kejaksaan Negeri Kota Kediri;1;0.998711109161377
badan penyelenggara jaminan sosial kesehatan bpjs kesehatan;Badan Penyelenggara Jaminan Sosial Kesehatan;1;0.9664542078971864
pemkab purworejo;Pemilik KTA Taylor Purworejo;1;0.9902920126914978
pemerintah kabupaten murung raya;BPR Dana Raya Jatim/ Penyedia Jasa Keuangan;0;0.9963204860687256
pemkot bekasi;KPPBC Tipe Madya Pabean A Bekasi;1;0.7685521841049194
bnsp republik indonesia;Bank Indonesia (Bank Sentral Republik Indonesia);1;0.9617092609405518
pemerintah kabupaten aceh timur;Kantor Gubernur Kalimantan Timur;0;0.9980430603027344
primissima batik;Universitas Islam Batik;0;0.9875785708427428
bgr indonesia;Data Science Indonesia;1;0.8272712230682373
bank mandiri;Bank Danamon;0;0.997211754322052
pt industri telekomunikasi indonesia persero;PT Pulau Rempah Indonesia;0;0.9985116124153136
pt bank bri persero cabang ujung batu;BANK BAHTERMAS;1;0.6986647844314575
kanreg vi bkn medan;Kanreg VI BKN Medan;1;0.9965450167655944
pemkab ogan ilir;Mantan Kades Gemidar Ilir;1;0.5711079835891724
pt danareksa;PT Kordon Putra Sinerga;0;0.9919501543045044
pemkot pontianak;Pemerintah Kota Pontianak;1;0.9991027116775512
pt dkb;PT DONGJIN;1;0.970429301261902
perum perhutani divisi regional jawa barat dan banten;Loka POM di Loka Rejang Lebong dan BPOM di Bengkulu;1;0.9701218605041504
pt twc;PT Hidup Tujuh Lautan;1;0.9528158903121948
pemerintah kabupaten sidoarjo;Pemerintah Kabupaten Sidoarjo;1;0.9991735816001892
kemenko pembangunan manusia dan kebudayaan;Direktorat Jenderal Pengelolaan Sampah, Limbah, dan Bahan Berbahaya dan Beracun, KLHK;1;0.6042028069496155
pt kiw;PT MNC Pictures;1;0.9919833540916444
pt shs;PT Huawei Tech Investment (Huawei Indonesia/Corporate Affairs);1;0.598338782787323
pt jakarta industrial estate pulogadung;PT Jakarta Industrial Estate Pulogadung;1;0.9986276626586914
pemerintah kabupaten kubu raya;SMA Raudlatul Ulum 2 Kubu Raya;0;0.997821569442749
pt pertamina;PT. Pertamina;1;0.9975042939186096
pemerintah kabupaten tanah laut;Pengusaha Galian Tanah Urug;0;0.9960967898368835
pemerintah kabupaten buru;ADKASI (Asosiasi DPRD Kabupaten Seluruh Indonesia);0;0.99867981672287
pemkab tanah datar;PEMERINTAH KABUPATEN TANAH DATAR;1;0.99901282787323
pt energi management indonesia persero;Panin Asset Management;0;0.991771638393402
pemkab sidoarjo;Kodim Sidoarjo;1;0.9979692101478576
pemkab jember;Istri Wakil Bupati Jember;1;0.8438565731048584
pemerintah kabupaten sidoarjo;Pengadilan Agama Sidoarjo;0;0.9974114298820496
pt bgr;pt aqua golden mississippi;1;0.5315364599227905
kementerian energi dan sumber daya mineral esdm;PPBMN Kementerian ESDM;1;0.9976611137390136
bni divisi solusi ritel;BNI DIVISI SOLUSI RITEL;1;0.9984856247901917
bri custody;BRI Custody;1;0.9983317255973816
pt danareksa persero;Laboratorium kalibrasi PT Indofood;0;0.9872738122940063
pemerintah kabupaten kuantan singingi;Pemerintah Desa Wonorejo Kec jatiyoso;0;0.9989367127418518
pemerintah kabupaten paser;Pemerintah Kabupaten Paser;1;0.9986141920089722
pemerintah kabupaten sorong selatan;Dinas Koperasi dan UKM Kabupaten Sleman;0;0.9990609288215636
bri kantor pusat;BRI Kantor Pusat;1;0.9980979561805724
pemkot tebing tinggi;Pemerintah Kota Tebing Tinggi;1;0.998897910118103
pln batubara;PLN Batubara;1;0.9978561997413636
lpsk ri;Wakil Presiden RI;1;0.9881624579429626
pemerintah kabupaten sumedang;Pemerintah Kabupaten Sumedang;1;0.9984083771705629
pt boma bisma indra persero cabang jakarta;HRD Perusahaan PT Sumber Alfaria Trijaya;1;0.8465562462806702
bank bni;Bank Bni Cabang Perguruan Tinggi Bandung;1;0.9948351383209229
badan nasional pengelola perbatasan;Unit Pengelola Kegiatan Dana Amanah Pemberdayaan Masyarakat Kec. Gebang;0;0.9926349520683287
pt telkom;PT Sri Rejeki Fertilizer;0;0.9950291514396667
pemerintah provinsi bali;Marketing Manager, Padma Legian Bali;0;0.991737186908722
pemerintah provinsi bali;Universitas Ngurah Rai Bali;0;0.9947153925895692
kementerian pendayagunaan aparatur negara dan reformasi birokrasi kem panrb;Induk Koperasi Kepolisian Negara (Inkopol);0;0.9968576431274414
pt smf;PT Kahatex;1;0.9707593321800232
pemerintah kabupaten puncak jaya;Perusahaan renis jaya;0;0.9980403780937196
kementerian desa;Desa Mojogedang;0;0.9976466298103333
pln batubara pln bb;Perusahaan Batubara;1;0.9890535473823548
pemerintah kabupaten puncak jaya;PT Sinar Jaya;0;0.998672366142273
