,text_a,text_b,labels,prediksi
291,pemerintah kabupaten kepulauan anambas,pemerintah kabupaten kepulauan aru,0,0
292,pemerintah kabupaten kepulauan anambas,pemkab anambas,1,1
293,pemerintah kabupaten kepulauan anambas,pemkab kepulauan aru,0,0
294,pemerintah kabupaten kepulauan anambas,pemerintah kabupaten kepulauan sula,0,0
295,pemerintah kabupaten kepulauan anambas,pemkab kepulauan sula,0,0
296,pemerintah kabupaten kepulauan anambas,pemerintah kabupaten anambas,1,1
297,pemerintah kabupaten kepulauan anambas,pemerintah kabupaten kepulauan yapen,0,0
298,pemerintah kabupaten kepulauan anambas,pemkab kepulauan yapen,0,0
299,pemerintah kabupaten kepulauan anambas,pemkab kepulauan anambas,1,1
300,pemerintah kabupaten lampung timur,pemerintah kabupaten lampung selatan,0,0
301,pemerintah kabupaten lampung timur,pemkab lampung selatan,0,0
302,pemerintah kabupaten lampung timur,pemerintah kota bandar lampung,0,0
303,pemerintah kabupaten lampung timur,pemkot bandar lampung,0,0
304,pemerintah kabupaten lampung timur,pemerintah provinsi lampung,0,0
305,pemerintah kabupaten lampung timur,pemprov lampung,0,0
306,pemerintah kabupaten lampung timur,pemkab lampung timur,1,1
307,pemerintah kabupaten lampung timur,pemkab lampung utara,0,0
308,pemerintah kabupaten lampung timur,pemkab lampung barat,0,0
309,pemerintah kabupaten lampung timur,pemerintah kabupaten lampung barat,0,0
310,pemerintah kabupaten lampung timur,pemerintah kabupaten lampung utara,0,0
311,pemerintah kabupaten lampung timur,pemerintah kabupaten lampung tengah,0,0
312,pemerintah kabupaten lampung timur,pemkab lampung tengah,0,0
313,pemerintah kabupaten lembata,lembang,0,0
314,pemerintah kabupaten lembata,pemkab lembata,1,1
315,pemerintah kabupaten lombok barat,pemerintah kabupaten lombok tengah,0,0
316,pemerintah kabupaten lombok barat,pemkab lombok tengah,0,0
317,pemerintah kabupaten lombok barat,pemkab lombok barat,1,1
318,pemerintah kabupaten lombok barat,pemerintah kabupaten lombok utara,0,0
319,pemerintah kabupaten lombok barat,pemkab lombok utara,0,0
320,pemerintah kabupaten lombok barat,pemkab lombok timur,0,0
321,pemerintah kabupaten lombok barat,pemerintah kabupaten lombok timur,0,0
322,pemerintah kabupaten lombok utara,pemkab lombok tengah,0,0
323,pemerintah kabupaten lombok utara,pemerintah kabupaten lombok barat,0,0
324,pemerintah kabupaten lombok utara,pemkab lombok barat,0,0
325,pemerintah kabupaten lombok utara,pemerintah kabupaten lombok tengah,0,0
326,pemerintah kabupaten lombok utara,pemkab lombok utara,1,1
327,pemerintah kabupaten lombok utara,pemerintah kabupaten lombok timur,0,0
328,pemerintah kabupaten lombok utara,pemkab lombok timur,0,0
329,pemerintah kabupaten malaka,pemkab maluku tenggara barat,0,0
330,pemerintah kabupaten malaka,pemkab maluku barat daya,0,0
331,pemerintah kabupaten malaka,pemerintah kabupaten maluku tenggara,0,0
332,pemerintah kabupaten malaka,pemkab maluku tenggara,0,0
333,pemerintah kabupaten malaka,pemerintah kabupaten maluku tengah,0,0
334,pemerintah kabupaten malaka,pemkab maluku tengah,0,0
335,pemerintah kabupaten malaka,pemerintah kabupaten maluku tenggara barat,0,0
336,pemerintah kabupaten malaka,pemkab malaka,1,1
337,pemerintah kabupaten malaka,pemerintah kabupaten maluku barat daya,0,0
338,pemerintah kabupaten malaka,pemprov maluku,0,0
339,pemerintah kabupaten malaka,pemerintah provinsi maluku,0,0
340,pemerintah kabupaten maluku tenggara,pemprov maluku,0,0
341,pemerintah kabupaten maluku tenggara,pemerintah kabupaten maluku barat daya,0,0
342,pemerintah kabupaten maluku tenggara,pemerintah provinsi maluku,0,0
343,pemerintah kabupaten maluku tenggara,pemkab maluku barat daya,0,0
344,pemerintah kabupaten maluku tenggara,pemkab maluku tengah,0,0
345,pemerintah kabupaten maluku tenggara,pemkab maluku tenggara,1,1
346,pemerintah kabupaten maluku tenggara,pemkab malaka,0,0
347,pemerintah kabupaten maluku tenggara,pemerintah kabupaten maluku tenggara barat,0,0
348,pemerintah kabupaten maluku tenggara,pemerintah kabupaten malaka,0,0
349,pemerintah kabupaten maluku tenggara,pemkab maluku tenggara barat,0,0
350,pemerintah kabupaten maluku tenggara,pemerintah kabupaten maluku tengah,0,0
351,pemerintah kabupaten maluku tenggara barat,pemkab malaka,0,0
352,pemerintah kabupaten maluku tenggara barat,pemerintah kabupaten malaka,0,0
353,pemerintah kabupaten maluku tenggara barat,pemkab maluku tengah,0,0
354,pemerintah kabupaten maluku tenggara barat,pemerintah kabupaten maluku tengah,0,0
355,pemerintah kabupaten maluku tenggara barat,pemerintah provinsi maluku,0,0
356,pemerintah kabupaten maluku tenggara barat,pemprov maluku,0,0
357,pemerintah kabupaten maluku tenggara barat,pemerintah kabupaten maluku tenggara,0,0
358,pemerintah kabupaten maluku tenggara barat,pemkab maluku tenggara,0,0
359,pemerintah kabupaten maluku tenggara barat,pemkab maluku tenggara barat,1,1
360,pemerintah kabupaten maluku tenggara barat,pemerintah kabupaten maluku barat daya,0,0
361,pemerintah kabupaten maluku tenggara barat,pemkab maluku barat daya,0,0
362,pemerintah kabupaten merauke,pemkab merauke,1,1
363,pemerintah kabupaten merauke,merapi,0,0
364,pemerintah kabupaten nagan raya,jakarta raya,0,0
365,pemerintah kabupaten nagan raya,pemkab nagan raya,1,1
366,pemerintah kabupaten ngada,pemerintah kabupaten nduga,0,0
367,pemerintah kabupaten ngada,pemkab nduga,0,0
368,pemerintah kabupaten ngada,pemkab ngada,1,1
369,pemerintah kabupaten pidie jaya,pemkab puncak jaya,0,0
370,pemerintah kabupaten pidie jaya,pemerintah kabupaten puncak jaya,0,0
371,pemerintah kabupaten pidie jaya,pemkab pidie jaya,1,1
372,pemerintah kabupaten pidie jaya,pemerintah kabupaten pidie,0,0
373,pemerintah kabupaten pidie jaya,pemkab pidie,0,0
374,pemerintah kabupaten pidie jaya,pemerintah kabupaten intan jaya,0,0
375,pemerintah kabupaten pidie jaya,pemkab intan jaya,0,0
376,pemerintah kabupaten pidie jaya,pemerintah kabupaten lanny jaya,0,0
377,pemerintah kabupaten pidie jaya,pemkab lanny jaya,0,0
378,pemerintah kabupaten pulau taliabu,pemkab taliabu,1,1
379,pemerintah kabupaten pulau taliabu,pemerintah kabupaten pulau morotai,0,0
380,pemerintah kabupaten pulau taliabu,pemkab pulau morotai,0,0
381,pemerintah kabupaten pulau taliabu,pemerintah kabupaten taliabu,1,1
382,pemerintah kabupaten pulau taliabu,pemkab pulau taliabu,1,1
383,pemerintah kabupaten sarmi,pemkab sarmi,1,1
384,pemerintah kabupaten sarmi,pemerintah kabupaten seram,0,0
385,pemerintah kabupaten sarmi,pemkab seram,0,0
386,pemerintah kabupaten sikka,kpu kabupaten sikka,0,0
387,pemerintah kabupaten sikka,pemkab sikka,1,1
388,pemerintah kabupaten sikka,bps kabupaten sikka,0,0
389,pemerintah kabupaten sikka,komisi pemilihan umum kabupaten sikka,0,0
390,pemerintah kabupaten sikka,badan pusat statistuk kabupaten sikka,0,0
391,pemerintah kabupaten sumba barat,pemkab sumba barat daya,0,0
392,pemerintah kabupaten sumba barat,pemerintah kabupaten sumba barat daya,0,1
393,pemerintah kabupaten sumba barat,pemprov sumbar,0,0
394,pemerintah kabupaten sumba barat,pemerintah provinsi sumbar,0,0
395,pemerintah kabupaten sumba barat,pemerintah kabupaten sumbawa barat,0,1
396,pemerintah kabupaten sumba barat,pemkab sumbawa barat,0,1
397,pemerintah kabupaten sumba barat,pemerintah kabupaten sumbawa,0,0
398,pemerintah kabupaten sumba barat,pemkab sumbawa,0,0
399,pemerintah kabupaten sumba barat,pemkab sumba barat,1,1
400,pemerintah kabupaten sumba barat,pemkab sumba timur,0,0
401,pemerintah kabupaten sumba barat,pemerintah kabupaten sumba timur,0,0
402,pemerintah kabupaten sumba barat,pemkab sumba tengah,0,0
403,pemerintah kabupaten sumba barat,pemerintah kabupaten sumba tengah,0,0
404,pemerintah kabupaten sumba barat daya,pemkab sumba timur,0,0
405,pemerintah kabupaten sumba barat daya,pemerintah kabupaten sumbawa barat,0,0
406,pemerintah kabupaten sumba barat daya,pemkab sumbawa barat,0,0
407,pemerintah kabupaten sumba barat daya,pemerintah kabupaten sumba timur,0,0
408,pemerintah kabupaten sumba barat daya,pemerintah kabupaten sumba barat,0,0
409,pemerintah kabupaten sumba barat daya,pemerintah kabupaten sumbawa,0,0
410,pemerintah kabupaten sumba barat daya,pemkab sumbawa,0,0
411,pemerintah kabupaten sumba barat daya,pemkab sumba barat,0,0
412,pemerintah kabupaten sumba barat daya,pemkab sumba barat daya,1,1
413,pemerintah kabupaten sumba barat daya,pemprov sumbar,0,0
414,pemerintah kabupaten sumba barat daya,pemerintah provinsi sumbar,0,0
415,pemerintah kabupaten sumba barat daya,pemerintah kabupaten sumba tengah,0,0
416,pemerintah kabupaten sumba barat daya,pemkab sumba tengah,0,0
417,pemerintah kabupaten tanah laut,pemerintah kabupaten tanah bumbu,0,0
418,pemerintah kabupaten tanah laut,pemerintah kabupaten tana tidung,0,0
419,pemerintah kabupaten tanah laut,pemkab tana tidung,0,0
420,pemerintah kabupaten tanah laut,pemkab tanah bumbu,0,0
421,pemerintah kabupaten tanah laut,pemkab tanah laut,1,1
422,pemerintah kabupaten timor tengah selatan,pemkab tts,1,0
423,pemerintah kabupaten timor tengah selatan,pemkab timteng selatan,1,1
424,pemerintah kabupaten timor tengah selatan,pemerintah kabupaten timteng selatan,1,1
425,pemerintah kabupaten timor tengah selatan,pemkab timor tengah selatan,1,1
426,pemerintah kabupaten timor tengah selatan,pemkab timor tengah utara,0,0
427,pemerintah kabupaten timor tengah selatan,pemerintah kabupaten timor tengah utara,0,0
428,pemerintah kabupaten timor tengah selatan,pemerintah kabupaten tts,1,1
429,pemerintah kabupaten tulang bawang,pemkab tulang bawang,1,1
430,pemerintah kabupaten tulang bawang,pemkab tulang bawang barat,0,0
431,pemerintah kabupaten tulang bawang,pemerintah kabupaten tulang bawang barat,0,0
432,pemerintah kota banda aceh,pemkab aceh besar,0,0
433,pemerintah kota banda aceh,pemerintah kabupaten aceh tengah,0,0
434,pemerintah kota banda aceh,pemkot banda aceh,1,1
435,pemerintah kota banda aceh,pemerintah provinsi nanggroe aceh darusalam,0,0
436,pemerintah kota banda aceh,pemkab aceh tengah,0,0
437,pemerintah kota banda aceh,pemerintah kota bandar lampung,0,0
438,pemerintah kota banda aceh,pemerintah kabupaten aceh jaya,0,0
439,pemerintah kota banda aceh,pemkab aceh barat,0,0
440,pemerintah kota banda aceh,pemerintah kabupaten aceh barat,0,0
441,pemerintah kota banda aceh,pemerintah kabupaten aceh timur,0,0
442,pemerintah kota banda aceh,pemkab aceh jaya,0,0
443,pemerintah kota banda aceh,pemkot bandar lampung,0,0
444,pemerintah kota banda aceh,pemkab aceh timur,0,0
445,pemerintah kota banda aceh,pemerintah kabupaten aceh selatan,0,0
446,pemerintah kota banda aceh,pemkab aceh tamiang,0,0
447,pemerintah kota banda aceh,pemerintah kabupaten aceh tamiang,0,0
448,pemerintah kota banda aceh,pemkab aceh barat daya,0,0
449,pemerintah kota banda aceh,pemerintah kabupaten aceh barat daya,0,0
450,pemerintah kota banda aceh,pemkab aceh singkil,0,0
451,pemerintah kota banda aceh,pemerintah kabupaten aceh singkil,0,0
452,pemerintah kota banda aceh,pemkab aceh selatan,0,0
453,pemerintah kota banda aceh,pemkab aceh tenggara,0,0
454,pemerintah kota banda aceh,pemerintah kabupaten aceh tenggara,0,0
455,pemerintah kota banda aceh,pemkab aceh utara,0,0
456,pemerintah kota banda aceh,pemerintah kabupaten aceh utara,0,0
457,pemerintah kota banda aceh,pemerintah kabupaten aceh besar,0,0
458,pemerintah kota banda aceh,pemprov nanggroe aceh darusalam,0,0
459,pemerintah kota lhokseumawe,pemko lhokseumawe,1,1
460,pemerintah kota lhokseumawe,pemkot lhokseumawe,1,1
461,pemerintah kota sabang,pemkot sabang,1,1
462,pemerintah kota sabang,cabang,0,0
463,pemerintah kota tidore kepulauan,pemkot tidore,1,0
464,pemerintah kota tidore kepulauan,pemerintah kota tidore,1,1
465,pemerintah kota tidore kepulauan,pemkot tidore kepulauan,1,1
466,pemerintah provinsi kalimantan selatan,pemprov kalimantan selatan,1,1
467,pemerintah provinsi kalimantan selatan,pemerintah provinsi kalsel,1,0
468,pemerintah provinsi kalimantan selatan,pemprov kalsel,1,0
469,pemerintah provinsi kalimantan selatan,pemerintah provinsi kalimantan tengah,0,0
470,pemerintah provinsi kalimantan selatan,pemprov kalimantan utara,0,0
471,pemerintah provinsi kalimantan selatan,pemerintah provinsi kalimantan timur,0,0
472,pemerintah provinsi kalimantan selatan,pemprov kalimantan timur,0,0
473,pemerintah provinsi kalimantan selatan,pemprov kalimantan tengah,0,0
474,pemerintah provinsi kalimantan selatan,pemerintah provinsi kalimantan utara,0,0
475,pemerintah provinsi kalimantan timur,pemprov kaltim,1,0
476,pemerintah provinsi kalimantan timur,pemerintah provinsi kaltim,1,0
477,pemerintah provinsi kalimantan timur,pemerintah provinsi kalimantan selatan,0,0
478,pemerintah provinsi kalimantan timur,pemprov kalimantan selatan,0,0
479,pemerintah provinsi kalimantan timur,pemprov kalimantan timur,1,1
480,pemerintah provinsi kalimantan timur,pemerintah provinsi kalimantan utara,0,0
481,pemerintah provinsi kalimantan timur,pemprov kalimantan utara,0,0
482,pemerintah provinsi kalimantan timur,pemerintah provinsi kalimantan tengah,0,0
483,pemerintah provinsi kalimantan timur,pemprov kalimantan tengah,0,0
484,pemerintah provinsi maluku utara,pemerintah provinsi maluku,0,0
485,pemerintah provinsi maluku utara,pemprov malut,1,0
486,pemerintah provinsi maluku utara,pemprov maluku utara,1,1
487,pemerintah provinsi maluku utara,pemerintah provinsi malut,1,0
488,pemerintah provinsi maluku utara,pemprov maluku,0,0
489,pemerintah provinsi nangroe aceh darussalam,pemerintah provinsi nad,1,1
490,pemerintah provinsi nangroe aceh darussalam,pemprov nad,1,1
491,pemerintah provinsi nangroe aceh darussalam,pemprov nangroe aceh darussalam,1,1
492,perum bulog,perum bulog kanwil kaltim & kaltara,1,0
493,perum bulog,perum bulog kabupaten probolinggo,1,0
494,perum bulog,perum peruri,0,0
495,perum bulog,perum damri,0,0
496,perum jasa tirta ii,jasa tirta ii,1,1
497,perum jasa tirta ii,jasa tirta 2,1,0
498,perum jasa tirta ii,jasa tirta i,0,0
499,perum jasa tirta ii,jasa tirta,0,0
500,perum kehutanan negara perhutani,perum perhutani kph bandung utara,1,0
501,perum kehutanan negara perhutani,perum perhutani divisi regional jawa barat dan banten,1,0
502,perum kehutanan negara perhutani,perum produksi film negara (pfn),0,0
503,perum kehutanan negara perhutani,perum percetakan negara ,0,0
504,perum pengangkutan penumpang djakarta ppd,perum ppd,1,1
505,perum pengangkutan penumpang djakarta ppd,perusahaan umum pengangkutan penumpang djakarta,1,1
506,perum pengangkutan penumpang djakarta ppd,pengangkutan penumpang,0,0
507,perum pengangkutan penumpang djakarta ppd,dinas perumahan rakyat dan permukiman provinsi dki jakarta,0,0
508,pt brantas abipraya persero,brantas abipraya,1,1
509,pt brantas abipraya persero,kantor pusat pt brantas abipraya (persero),1,1
510,pt brantas abipraya persero,kereta api brantas,0,0
511,pt brantas abipraya persero,pt abishar technologies indonesia,0,0
512,pt dahana persero,dahana,1,1
513,pt dahana persero,pt dahana subang,1,1
514,pt dahana persero,gor dahana,0,0
515,pt dahana persero,pt dahana berlian motor,0,0
516,pt danareksa persero,danareksa,1,1
517,pt danareksa persero,pt danareksa,1,1
518,pt danareksa persero,pt bhanda ghara reksa (persero),0,0
519,pt danareksa persero,bareksa,0,0
520,pt djakarta lloyd persero,djakarta lloyd,1,1
521,pt djakarta lloyd persero,pt djakarta lloyd,1,1
522,pt djakarta lloyd persero,perum pengangkutan penumpang djakarta (ppd),0,0
523,pt djakarta lloyd persero,pt jakarta propertindo,0,0
524,pt dok dan perkapalan kodja bahari persero,pt dkb,1,1
525,pt dok dan perkapalan kodja bahari persero,dok dan perkapalan kodja bahari,1,1
526,pt dok dan perkapalan kodja bahari persero,pt dok dan perkapalan surabaya (persero),0,0
527,pt dok dan perkapalan kodja bahari persero,pt bahari eka nusantara,0,0
528,pt geodipa energi,geo dipa energi,1,0
529,pt geodipa energi,pt geo dipa energi (persero),1,0
530,pt geodipa energi,geo energy group,0,0
531,pt geodipa energi,pt geotekindo,0,0
532,pt jakarta industrial estate pulogadung,jiep ecogreen,1,0
533,pt jakarta industrial estate pulogadung,pt jiep,1,1
534,pt jakarta industrial estate pulogadung,balai diklat industri jakarta,0,0
535,pt jakarta industrial estate pulogadung,hotel orchardz industri jakarta,0,0
536,pt jasa raharja persero,jasa raharja,1,1
537,pt jasa raharja persero,jasa raharja bandung,1,1
538,pt jasa raharja persero,"pt jasa marga (persero), tbk.",0,0
539,pt jasa raharja persero,pt jasa sarana,0,0
540,pt kawasan berikat nusantara persero,pt kbn,1,1
541,pt kawasan berikat nusantara persero,kawasan berikat nusantara,1,1
542,pt kawasan berikat nusantara persero,pt kawasan industri wijayakusuma (persero),0,0
543,pt kawasan berikat nusantara persero,pt nusantara laju bersama,0,0
544,pt kimia farma,kimia farma,1,1
545,pt kimia farma,pt kimia farma tbk,1,1
546,pt kimia farma,pt indofarma,0,0
547,pt kimia farma,pt bio farma,0,0
548,pt pelabuhan indonesia i persero,pelindo i,1,1
549,pt pelabuhan indonesia i persero,pelabuhan indonesia,1,0
550,pt pelabuhan indonesia i persero,pt pelabuhan indonesia ii,0,1
551,pt pelabuhan indonesia i persero,pelabuhan indonesia ii,0,1
552,pt pelabuhan indonesia iii persero,pelabuhan indonesia iii,1,1
553,pt pelabuhan indonesia iii persero,pelindo iii,1,1
554,pt pelabuhan indonesia iii persero,pelabuhan indonesia ii,0,1
555,pt pelabuhan indonesia iii persero,pelindo,0,0
556,pt pelayaran nasional indonesia persero pelni,pelayaran nasional indonesia,1,1
557,pt pelayaran nasional indonesia persero pelni,pt pelni,1,1
558,pt pelayaran nasional indonesia persero pelni,pt pelayaran nasional ekalya purnamasari tbk,0,0
559,pt pelayaran nasional indonesia persero pelni,pt pelayaran bahtera adhiguna,0,0
560,pt pembangunan perumahan persero,pt pp,1,1
561,pt pembangunan perumahan persero,pembangunan perumahan,1,1
562,pt pembangunan perumahan persero,pt pembangunan jaya,0,0
563,pt pembangunan perumahan persero,pt pembangunan jaya ancol,0,0
564,pt semen indonesia persero tbk,pt semen indonesia,1,1
565,pt semen indonesia persero tbk,semen indonesia,1,1
566,pt semen indonesia persero tbk,pt semen baturaja (persero),0,0
567,pt semen indonesia persero tbk,pt tambang semen sukabumi,0,0
568,pt taman wisata candi borobudur prambanan dan ratu boko persero,pt twc,1,1
569,pt taman wisata candi borobudur prambanan dan ratu boko persero,pt taman wisata candi,1,0
570,pt taman wisata candi borobudur prambanan dan ratu boko persero,taman wisata bougenville,0,0
571,pt taman wisata candi borobudur prambanan dan ratu boko persero,taman wisata alam sevillage,0,0
572,pt varuna tirta prakasya persero,pt vtp,1,1
573,pt varuna tirta prakasya persero,varuna tirta prakasya,1,1
574,pt varuna tirta prakasya persero,pt varuna artha nugraha,0,0
575,pt varuna tirta prakasya persero,pt tirta investama,0,0
576,pt indofarma,indofarma tbk,1,1
577,pt indofarma,indofarma global medika,1,0
578,pt indofarma,indofarma global medika cabang,1,0
579,pt indofarma,pt igm,1,1
580,pt indofarma,indofarma,1,1
581,pt indofarma,igm,0,1
582,pt telkom indonesia persero tbk,pt telkom indonesia,1,1
583,pt telkom indonesia persero tbk,pt telkomsel,0,0
584,pt telkom indonesia persero tbk,telkom university,0,0
585,pt telkom indonesia persero tbk,telkom,0,0
586,pt semen kupang,kupang,0,0
587,pt semen kupang,pemkot kupang,0,1
588,pt semen kupang,pemerintah kota kupang,0,1
